Datum;DAX
17.01.1997;3006,87
20.01.1997;2999,19
21.01.1997;3000,66
22.01.1997;3026,63
23.01.1997;3037,28
24.01.1997;2982,63
27.01.1997;2992,55
28.01.1997;3028,27
29.01.1997;2997,95
30.01.1997;3018,58
31.01.1997;3037,7
03.02.1997;3064,7
04.02.1997;3067,48
05.02.1997;3114,73
06.02.1997;3124,78
07.02.1997;3161,36
10.02.1997;3185,72
11.02.1997;3191,45
12.02.1997;3211,01
13.02.1997;3256,86
14.02.1997;3249,17
17.02.1997;3260,3
18.02.1997;3230,83
19.02.1997;3209,04
20.02.1997;3197,09
21.02.1997;3203,79
24.02.1997;3180,63
25.02.1997;3233,34
26.02.1997;3245,02
27.02.1997;3272,58
28.02.1997;3261,04
03.03.1997;3258,74
04.03.1997;3345,09
05.03.1997;3375,45
06.03.1997;3396,55
07.03.1997;3419,51
10.03.1997;3426,77
11.03.1997;3430,95
12.03.1997;3382,4
13.03.1997;3367,82
14.03.1997;3404,29
17.03.1997;3337,11
18.03.1997;3289,59
19.03.1997;3305,72
20.03.1997;3247,03
21.03.1997;3288,52
24.03.1997;3302,57
25.03.1997;3374,93
26.03.1997;3439,22
27.03.1997;3407,83
28.03.1997;3407,83
31.03.1997;3407,83
01.04.1997;3281,46
02.04.1997;3210,94
03.04.1997;3212,82
04.04.1997;3235,35
07.04.1997;3342,77
08.04.1997;3328,13
09.04.1997;3364,76
10.04.1997;3352,58
11.04.1997;3319,24
14.04.1997;3297,52
15.04.1997;3369,26
16.04.1997;3347,54
17.04.1997;3361,8
18.04.1997;3361,2
21.04.1997;3328,41
22.04.1997;3348,9
23.04.1997;3366,87
24.04.1997;3396,49
25.04.1997;3357,57
28.04.1997;3372,96
29.04.1997;3425,86
30.04.1997;3438,09
01.05.1997;3438,09
02.05.1997;3491,08
05.05.1997;3565,69
06.05.1997;3548,52
07.05.1997;3537,45
08.05.1997;3537,45
09.05.1997;3533,21
12.05.1997;3593,14
13.05.1997;3559,29
14.05.1997;3588,57
15.05.1997;3564,85
16.05.1997;3569,26
19.05.1997;3569,26
20.05.1997;3516,2
21.05.1997;3600,4
22.05.1997;3575,44
23.05.1997;3621,72
26.05.1997;3669,31
27.05.1997;3665,43
28.05.1997;3626,6
29.05.1997;3635,38
30.05.1997;3562,73
02.06.1997;3596,4
03.06.1997;3655,59
04.06.1997;3651,59
05.06.1997;3684,6
06.06.1997;3700,53
09.06.1997;3668,61
10.06.1997;3671,16
11.06.1997;3671,87
12.06.1997;3737,16
13.06.1997;3752,37
16.06.1997;3750,02
17.06.1997;3721,18
18.06.1997;3730,56
19.06.1997;3777,56
20.06.1997;3788,54
23.06.1997;3748,79
24.06.1997;3761,07
25.06.1997;3819,52
26.06.1997;3820,16
27.06.1997;3809,92
30.06.1997;3766,89
01.07.1997;3834,84
02.07.1997;3867,53
03.07.1997;3939,73
04.07.1997;3946,73
07.07.1997;4003,35
08.07.1997;4030,1
09.07.1997;4026,97
10.07.1997;4000,65
11.07.1997;4074,3
14.07.1997;4142,19
15.07.1997;4139,68
16.07.1997;4223,69
17.07.1997;4203,91
18.07.1997;4131,94
21.07.1997;4139,96
22.07.1997;4297,64
23.07.1997;4384,82
24.07.1997;4320,52
25.07.1997;4368,54
28.07.1997;4400,3
29.07.1997;4377,7
30.07.1997;4458,66
31.07.1997;4405,52
01.08.1997;4336,98
04.08.1997;4302,5
05.08.1997;4325,86
06.08.1997;4364,25
07.08.1997;4428,08
08.08.1997;4342,31
11.08.1997;4333,15
12.08.1997;4377,51
13.08.1997;4237,06
14.08.1997;4195,53
15.08.1997;4077,59
18.08.1997;4080,55
19.08.1997;4190,45
20.08.1997;4251,93
21.08.1997;4204,81
22.08.1997;4090,14
25.08.1997;4076,75
26.08.1997;3993,7
27.08.1997;3992,03
28.08.1997;3897,43
29.08.1997;3919,79
01.09.1997;4001,81
02.09.1997;4127,28
03.09.1997;4062,13
04.09.1997;4093,43
05.09.1997;4073,71
08.09.1997;4131,26
09.09.1997;4104,57
10.09.1997;4028
11.09.1997;3890,24
12.09.1997;3796,61
15.09.1997;3869,53
16.09.1997;3995,69
17.09.1997;3970,44
18.09.1997;4004,04
19.09.1997;3983,06
22.09.1997;4096,85
23.09.1997;4091,77
24.09.1997;4150,95
25.09.1997;4104,93
26.09.1997;4135,09
29.09.1997;4116,52
30.09.1997;4154,89
01.10.1997;4262,98
02.10.1997;4266,17
03.10.1997;4266,17
06.10.1997;4326,35
07.10.1997;4311,13
08.10.1997;4267,4
09.10.1997;4179,92
10.10.1997;4164,62
13.10.1997;4225,27
14.10.1997;4215,23
15.10.1997;4168,62
16.10.1997;4149,92
17.10.1997;4049,16
20.10.1997;4069,25
21.10.1997;4172,47
22.10.1997;4124,86
23.10.1997;3976,38
24.10.1997;3981,44
27.10.1997;3871,39
28.10.1997;3645,69
29.10.1997;3806,66
30.10.1997;3748,88
31.10.1997;3753,66
03.11.1997;3847,73
04.11.1997;3784,8
05.11.1997;3841,39
06.11.1997;3813,88
07.11.1997;3715,38
10.11.1997;3728,37
11.11.1997;3734,79
12.11.1997;3697,48
13.11.1997;3701,94
14.11.1997;3676,65
17.11.1997;3816,71
18.11.1997;3844,14
19.11.1997;3876,9
20.11.1997;3931,81
21.11.1997;3941,91
24.11.1997;3832,1
25.11.1997;3850,14
26.11.1997;3926,93
27.11.1997;3961,97
28.11.1997;3972,08
01.12.1997;4125,92
02.12.1997;4096,4
03.12.1997;4074,55
04.12.1997;4159,72
05.12.1997;4191,81
08.12.1997;4208,14
09.12.1997;4187,13
10.12.1997;4116,7
11.12.1997;4016,7
12.12.1997;4061,91
15.12.1997;4029,08
16.12.1997;4150,31
17.12.1997;4154,57
18.12.1997;4162,92
19.12.1997;4055,35
22.12.1997;4125,54
23.12.1997;4132,79
24.12.1997;4132,79
25.12.1997;4132,79
26.12.1997;4132,79
29.12.1997;4266,02
30.12.1997;4224,3
31.12.1997;4224,3
01.01.1998;4224,3
02.01.1998;4364,32
05.01.1998;4416,95
06.01.1998;4360,05
07.01.1998;4339,98
08.01.1998;4293,64
09.01.1998;4237,75
12.01.1998;4134,64
13.01.1998;4150,01
14.01.1998;4145,41
15.01.1998;4140,22
16.01.1998;4216,24
19.01.1998;4290,05
20.01.1998;4310,83
21.01.1998;4250,47
22.01.1998;4238,77
23.01.1998;4222,16
26.01.1998;4266,34
27.01.1998;4316,05
28.01.1998;4385,29
29.01.1998;4444,53
30.01.1998;4442,53
02.02.1998;4529,88
03.02.1998;4529,18
04.02.1998;4509,25
05.02.1998;4494,72
06.02.1998;4536,91
09.02.1998;4519,56
10.02.1998;4558,62
11.02.1998;4552,46
12.02.1998;4509,37
13.02.1998;4522,42
16.02.1998;4535,56
17.02.1998;4627,42
18.02.1998;4611,66
19.02.1998;4581,08
20.02.1998;4583,03
23.02.1998;4610,66
24.02.1998;4604,55
25.02.1998;4704,58
26.02.1998;4695,78
27.02.1998;4693,86
02.03.1998;4781,62
03.03.1998;4759,62
04.03.1998;4690,52
05.03.1998;4676,42
06.03.1998;4762,71
09.03.1998;4828,89
10.03.1998;4852,22
11.03.1998;4862,41
12.03.1998;4838,67
13.03.1998;4872,24
16.03.1998;4905,59
17.03.1998;4945,91
18.03.1998;4908,55
19.03.1998;4949,91
20.03.1998;5045,16
23.03.1998;5014,13
24.03.1998;5064,35
25.03.1998;5114,13
26.03.1998;5029
27.03.1998;5066,9
30.03.1998;5069,89
31.03.1998;5097,25
01.04.1998;5135,35
02.04.1998;5179,04
03.04.1998;5254,32
06.04.1998;5345,89
07.04.1998;5309,67
08.04.1998;5267,35
09.04.1998;5312,25
10.04.1998;5312,25
13.04.1998;5312,25
14.04.1998;5367,98
15.04.1998;5359,24
16.04.1998;5292,97
17.04.1998;5326,63
20.04.1998;5407,93
21.04.1998;5373,8
22.04.1998;5312,28
23.04.1998;5262,57
24.04.1998;5144,42
27.04.1998;5002,71
28.04.1998;5110,88
29.04.1998;5083,8
30.04.1998;5241,23
01.05.1998;5241,23
04.05.1998;5337,75
05.05.1998;5226,2
06.05.1998;5264,62
07.05.1998;5164,89
08.05.1998;5270,61
11.05.1998;5348,75
12.05.1998;5307,82
13.05.1998;5371,99
14.05.1998;5374,11
15.05.1998;5414,31
18.05.1998;5343,66
19.05.1998;5441
20.05.1998;5514,51
21.05.1998;5514,51
22.05.1998;5530,19
25.05.1998;5592,46
26.05.1998;5639,89
27.05.1998;5466,88
28.05.1998;5507,36
29.05.1998;5556,99
01.06.1998;5556,99
02.06.1998;5583,83
03.06.1998;5640,42
04.06.1998;5605,38
05.06.1998;5724,75
08.06.1998;5787,05
09.06.1998;5773,77
10.06.1998;5799,22
11.06.1998;5799,22
12.06.1998;5631,34
15.06.1998;5581,24
16.06.1998;5621,71
17.06.1998;5742,83
18.06.1998;5689,89
19.06.1998;5644,22
22.06.1998;5648,11
23.06.1998;5748,34
24.06.1998;5784,4
25.06.1998;5886,72
26.06.1998;5870,49
29.06.1998;5933,73
30.06.1998;5841,83
01.07.1998;5910,51
02.07.1998;5905,15
03.07.1998;5961,45
06.07.1998;5942,06
07.07.1998;5975,88
08.07.1998;6018,89
09.07.1998;6000,84
10.07.1998;6001,24
13.07.1998;6023,31
14.07.1998;6101,9
15.07.1998;6106,1
16.07.1998;6108
17.07.1998;6162,86
20.07.1998;6186,09
21.07.1998;6184,1
22.07.1998;6081,11
23.07.1998;6043,82
24.07.1998;6040,58
27.07.1998;5854,35
28.07.1998;5867,52
29.07.1998;5828,74
30.07.1998;5906,33
31.07.1998;5861,19
03.08.1998;5774,38
04.08.1998;5718,7
05.08.1998;5614,77
06.08.1998;5528,12
07.08.1998;5598,32
10.08.1998;5460,43
11.08.1998;5285,78
12.08.1998;5386,94
13.08.1998;5355,03
14.08.1998;5473,72
17.08.1998;5432,03
18.08.1998;5602,15
19.08.1998;5601,93
20.08.1998;5486,76
21.08.1998;5190,6
24.08.1998;5253,38
25.08.1998;5407,03
26.08.1998;5247,62
27.08.1998;5012,73
28.08.1998;4925,8
31.08.1998;4811,28
01.09.1998;4855,9
02.09.1998;4948,51
03.09.1998;4797,13
04.09.1998;4864,97
07.09.1998;4945,74
08.09.1998;5095,62
09.09.1998;4958,44
10.09.1998;4744,05
11.09.1998;4754,65
14.09.1998;4893,51
15.09.1998;4851,56
16.09.1998;4872,18
17.09.1998;4629,03
18.09.1998;4623,37
21.09.1998;4439,13
22.09.1998;4549,23
23.09.1998;4722,96
24.09.1998;4611,34
25.09.1998;4584,41
28.09.1998;4677,56
29.09.1998;4600,33
30.09.1998;4430,91
01.10.1998;4094,62
02.10.1998;4019,31
05.10.1998;3970,99
06.10.1998;4185,39
07.10.1998;4064,16
08.10.1998;3861,89
09.10.1998;3973,44
12.10.1998;4271,63
13.10.1998;4253,12
14.10.1998;4371,1
15.10.1998;4391,64
16.10.1998;4469,12
19.10.1998;4466,18
20.10.1998;4657,86
21.10.1998;4534,55
22.10.1998;4449,12
23.10.1998;4480,43
26.10.1998;4579,64
27.10.1998;4682,7
28.10.1998;4564,12
29.10.1998;4569,73
30.10.1998;4690,99
02.11.1998;4762,47
03.11.1998;4709,32
04.11.1998;4878,24
05.11.1998;4795,28
06.11.1998;4809,73
09.11.1998;4762,38
10.11.1998;4681,34
11.11.1998;4705,32
12.11.1998;4645,89
13.11.1998;4643,8
16.11.1998;4785,76
17.11.1998;4718,34
18.11.1998;4700,69
19.11.1998;4805,69
20.11.1998;4911,43
23.11.1998;5024,51
24.11.1998;4954,54
25.11.1998;4956,53
26.11.1998;5067,99
27.11.1998;5159,21
30.11.1998;5026,14
01.12.1998;4777,18
02.12.1998;4712,2
03.12.1998;4812,34
04.12.1998;4802,76
07.12.1998;4721,17
08.12.1998;4708,19
09.12.1998;4676,57
10.12.1998;4650,3
11.12.1998;4543,02
14.12.1998;4563,26
15.12.1998;4569,7
16.12.1998;4686,74
17.12.1998;4732,11
18.12.1998;4666,74
21.12.1998;4826,7
22.12.1998;4879,47
23.12.1998;4978,62
24.12.1998;4978,62
25.12.1998;4978,62
28.12.1998;5040,15
29.12.1998;5056,2
30.12.1998;5006,57
31.12.1998;5006,57
01.01.1999;5006,57
04.01.1999;5290,36
05.01.1999;5263,41
06.01.1999;5442,9
07.01.1999;5345,71
08.01.1999;5370,51
11.01.1999;5266,47
12.01.1999;5196,13
13.01.1999;4982,12
14.01.1999;4902,75
15.01.1999;4973,78
18.01.1999;5076,85
19.01.1999;5038,45
20.01.1999;5197,15
21.01.1999;5163,45
22.01.1999;5008,21
25.01.1999;4988,59
26.01.1999;5001,19
27.01.1999;5038,21
28.01.1999;5080,93
29.01.1999;5180,29
01.02.1999;5239,6
02.02.1999;5164,95
03.02.1999;5090,07
04.02.1999;5061,28
05.02.1999;5097,48
08.02.1999;5052,44
09.02.1999;4850,67
10.02.1999;4814,04
11.02.1999;4869,29
12.02.1999;4896,74
15.02.1999;4888,95
16.02.1999;4895,11
17.02.1999;4820,42
18.02.1999;4871,09
19.02.1999;4823,26
22.02.1999;4887,7
23.02.1999;5012,6
24.02.1999;5058,29
25.02.1999;4918,55
26.02.1999;4903,96
01.03.1999;4779,07
02.03.1999;4797,84
03.03.1999;4668,52
04.03.1999;4722,69
05.03.1999;4840,81
08.03.1999;4791,43
09.03.1999;4790,47
10.03.1999;4730,05
11.03.1999;4785,37
12.03.1999;5031,06
15.03.1999;5043,23
16.03.1999;5090,93
17.03.1999;5062,59
18.03.1999;5025,79
19.03.1999;5108,75
22.03.1999;5034,68
23.03.1999;4870,49
24.03.1999;4797,33
25.03.1999;4863,81
26.03.1999;4799,59
29.03.1999;4867,21
30.03.1999;4841,2
31.03.1999;4865,27
01.04.1999;4901,81
02.04.1999;4901,81
05.04.1999;4901,81
06.04.1999;5022,27
07.04.1999;5027,25
08.04.1999;5067,76
09.04.1999;5133,92
12.04.1999;5167,55
13.04.1999;5225,22
14.04.1999;5186,76
15.04.1999;5189,72
16.04.1999;5143,02
19.04.1999;5252,4
20.04.1999;5101,41
21.04.1999;5175,57
22.04.1999;5226,64
23.04.1999;5187,89
26.04.1999;5269,12
27.04.1999;5364,81
28.04.1999;5352,72
29.04.1999;5323,06
30.04.1999;5360,44
03.05.1999;5383,22
04.05.1999;5377,4
05.05.1999;5295,22
06.05.1999;5275,57
07.05.1999;5276,5
10.05.1999;5261,01
11.05.1999;5297,49
12.05.1999;5249,24
13.05.1999;5249,24
14.05.1999;5183,49
17.05.1999;5102
18.05.1999;5160,47
19.05.1999;5213,3
20.05.1999;5243,21
21.05.1999;5253,77
24.05.1999;5253,77
25.05.1999;5165,72
26.05.1999;5183,08
27.05.1999;5064,31
28.05.1999;5070,98
31.05.1999;5068,59
01.06.1999;5010,71
02.06.1999;5040,34
03.06.1999;5040,34
04.06.1999;5124,13
07.06.1999;5212,86
08.06.1999;5196,93
09.06.1999;5250,63
10.06.1999;5201,49
11.06.1999;5296,01
14.06.1999;5291,52
15.06.1999;5344,92
16.06.1999;5382,67
17.06.1999;5415,51
18.06.1999;5337,19
21.06.1999;5468,47
22.06.1999;5468,67
23.06.1999;5399,11
24.06.1999;5327,6
25.06.1999;5301,21
28.06.1999;5356,95
29.06.1999;5359,53
30.06.1999;5378,52
01.07.1999;5480,22
02.07.1999;5519,05
05.07.1999;5625,65
06.07.1999;5613,92
07.07.1999;5588,5
08.07.1999;5561,02
09.07.1999;5650,31
12.07.1999;5652,02
13.07.1999;5569,51
14.07.1999;5610,89
15.07.1999;5619,26
16.07.1999;5619,94
19.07.1999;5624,74
20.07.1999;5503,36
21.07.1999;5436,42
22.07.1999;5341,39
23.07.1999;5344,88
26.07.1999;5164,76
27.07.1999;5225,05
28.07.1999;5229,56
29.07.1999;5046,88
30.07.1999;5103,7
02.08.1999;5118,1
03.08.1999;5107,68
04.08.1999;5119,37
05.08.1999;4977,18
06.08.1999;5010,47
09.08.1999;5087,3
10.08.1999;5000,87
11.08.1999;5013,47
12.08.1999;5117,59
13.08.1999;5219,43
16.08.1999;5257,1
17.08.1999;5259,91
18.08.1999;5230,47
19.08.1999;5186,85
20.08.1999;5219,85
23.08.1999;5301,98
24.08.1999;5324,02
25.08.1999;5400,32
26.08.1999;5389,34
27.08.1999;5420,36
30.08.1999;5392,53
31.08.1999;5270,77
01.09.1999;5317,12
02.09.1999;5189,92
03.09.1999;5336,22
06.09.1999;5400,55
07.09.1999;5391,36
08.09.1999;5400,7
09.09.1999;5436,86
10.09.1999;5483,95
13.09.1999;5446,91
14.09.1999;5401,47
15.09.1999;5387,18
16.09.1999;5304,42
17.09.1999;5303,94
20.09.1999;5351,98
21.09.1999;5282,76
22.09.1999;5238,76
23.09.1999;5299,57
24.09.1999;5190,2
27.09.1999;5239,64
28.09.1999;5119,1
29.09.1999;5135,62
30.09.1999;5149,83
01.10.1999;5124,55
04.10.1999;5218,86
05.10.1999;5301,85
06.10.1999;5353,32
07.10.1999;5419,31
08.10.1999;5419,26
11.10.1999;5414,5
12.10.1999;5358,46
13.10.1999;5295,43
14.10.1999;5220,29
15.10.1999;5184,23
18.10.1999;5156,28
19.10.1999;5296,91
20.10.1999;5291,23
21.10.1999;5246,49
22.10.1999;5357,75
25.10.1999;5320,4
26.10.1999;5388,76
27.10.1999;5363,86
28.10.1999;5478,89
29.10.1999;5525,4
01.11.1999;5524,92
02.11.1999;5546,95
03.11.1999;5560,87
04.11.1999;5635,62
05.11.1999;5658,1
08.11.1999;5647,94
09.11.1999;5694,73
10.11.1999;5742,42
11.11.1999;5802,36
12.11.1999;5791,05
15.11.1999;5859,29
16.11.1999;5909,52
17.11.1999;5870,17
18.11.1999;5950,05
19.11.1999;5955,97
22.11.1999;5819,89
23.11.1999;5814,74
24.11.1999;5818,73
25.11.1999;5961,45
26.11.1999;5958,07
29.11.1999;5888,88
30.11.1999;5896,04
01.12.1999;5933,84
02.12.1999;5937,2
03.12.1999;6119,17
06.12.1999;6142,19
07.12.1999;6158,77
08.12.1999;6115,59
09.12.1999;6118,06
10.12.1999;6097,9
13.12.1999;6127,2
14.12.1999;6187,99
15.12.1999;6232,75
16.12.1999;6341,29
17.12.1999;6353,9
20.12.1999;6378,66
21.12.1999;6418,68
22.12.1999;6492,53
23.12.1999;6782,39
24.12.1999;6782,39
27.12.1999;6837,41
28.12.1999;6861,54
29.12.1999;6859,58
30.12.1999;6958,14
31.12.1999;6958,14
03.01.2000;6750,76
04.01.2000;6586,95
05.01.2000;6502,07
06.01.2000;6474,92
07.01.2000;6780,96
10.01.2000;6925,52
11.01.2000;6891,25
12.01.2000;6912,81
13.01.2000;6955,98
14.01.2000;7173,22
17.01.2000;7258,9
18.01.2000;7072,12
19.01.2000;7091,04
20.01.2000;7112,66
21.01.2000;6992,75
24.01.2000;6931,99
25.01.2000;6809,64
26.01.2000;6969,37
27.01.2000;7126,13
28.01.2000;7066,6
31.01.2000;6835,6
01.02.2000;7050,46
02.02.2000;7171,95
03.02.2000;7354,26
04.02.2000;7444,61
07.02.2000;7296,32
08.02.2000;7549,88
09.02.2000;7629,11
10.02.2000;7709,27
11.02.2000;7611,55
14.02.2000;7644,8
15.02.2000;7396,13
16.02.2000;7490,32
17.02.2000;7580,53
18.02.2000;7573,78
21.02.2000;7590,53
22.02.2000;7607,94
23.02.2000;7698,97
24.02.2000;7640,53
25.02.2000;7738,68
28.02.2000;7587,13
29.02.2000;7644,55
01.03.2000;7727,93
02.03.2000;7945,77
03.03.2000;7960,03
06.03.2000;7975,78
07.03.2000;8064,97
08.03.2000;7987
09.03.2000;7949,15
10.03.2000;7975,95
13.03.2000;7693,85
14.03.2000;7650,05
15.03.2000;7414,46
16.03.2000;7583,96
17.03.2000;7710,92
20.03.2000;7872,38
21.03.2000;7807,93
22.03.2000;7798,62
23.03.2000;7694,78
24.03.2000;7932,42
27.03.2000;7892,49
28.03.2000;7931,93
29.03.2000;7864,76
30.03.2000;7644,89
31.03.2000;7599,39
03.04.2000;7429,22
04.04.2000;7522,8
05.04.2000;7330,77
06.04.2000;7446,21
07.04.2000;7522,2
10.04.2000;7516,95
11.04.2000;7442,66
12.04.2000;7443,07
13.04.2000;7449,06
14.04.2000;7214,83
17.04.2000;7187,14
18.04.2000;7196,49
19.04.2000;7216,71
20.04.2000;7157,95
21.04.2000;7157,95
24.04.2000;7157,95
25.04.2000;7280,51
26.04.2000;7388,55
27.04.2000;7221,74
28.04.2000;7414,68
01.05.2000;7414,68
02.05.2000;7555,92
03.05.2000;7376,93
04.05.2000;7386,71
05.05.2000;7530,82
08.05.2000;7408,09
09.05.2000;7280,54
10.05.2000;7120,86
11.05.2000;7259,48
12.05.2000;7269,28
15.05.2000;7195,15
16.05.2000;7371,06
17.05.2000;7211,51
